Name,SiteName,Depthm,Type,DepthPos,Depthm_int,Lat1,Lon1,,SampleType,Cl_mgL,Br_mgL
Ripley_in_C,Ripley,-82.7600021,Pockmark,82.7600021,-83,42° 23.798' N,076° 52.226' W,,Sample,125,
Ripley_in_NW,Ripley,-82.6900024,Pockmark,82.6900024,-83,42° 23.802' N,076° 52.23' W,,Sample,124,
Ripley_in_NE,Ripley,-82.6500015,Pockmark,82.6500015,-83,42° 23.803' N,076° 52.219' W,,Sample,124,
Shackleton_in_NE,Shackleton,-95.4800034,Pockmark,95.4800034,-95,42° 23.927' N,076° 52.509' W,,Sample,126,
Shackleton_in_C,Shackleton,-95.5500031,Pockmark,95.5500031,-96,42° 23.928' N,076° 52.52' W,,Sample,124,
Shackleton_in_NW,Shackleton,-95.5299988,Pockmark,95.5299988,-96,42° 23.931' N,076° 52.525' W,,Sample,126,
Scott_in_C,Scott,-108.9700012,Pockmark,108.9700012,-109,42° 24.147' N,076° 52.642' W,,Sample,125,
Scott_in_NW,Scott,-108.6200027,Pockmark,108.6200027,-109,42° 24.153' N,076° 52.649' W,,Sample,128,
Scott_in_NE,Scott,-108.8399963,Pockmark,108.8399963,-109,42° 24.153' N,076° 52.631' W,,Sample,126,
Maginus_in_C,Maginus,-108.4199982,Pockmark,108.4199982,-108,42° 24.37' N,076° 52.265' W,,Sample,124,
Maginus_in_NW,Maginus,-108.2600021,Pockmark,108.2600021,-108,42° 24.374' N,076° 52.271' W,,Sample,124,
Maginus_in_NE,Maginus,-108.2900009,Pockmark,108.2900009,-108,42° 24.375' N,076° 52.255' W,,Sample,124,
Kelimutu_in_NE,Kelimutu,-133.1100006,Pockmark,133.1100006,-133,42° 24.694' N,076° 52.722' W,,Sample,126,
Kelimutu_in_C,Kelimutu,-133.8600006,Pockmark,133.8600006,-134,42° 24.697' N,076° 52.74' W,,Sample,125,
Kelimutu_in_NW,Kelimutu,-133.2599945,Pockmark,133.2599945,-133,42° 24.71' N,076° 52.768' W,,Sample,125,
Ngorongoro_in_C,Ngorongoro,-144.4900055,Pockmark,144.4900055,-144,42° 24.853' N,076° 52.567' W,,Sample,124,
Ngorongoro_in_NW,Ngorongoro,-144.1399994,Pockmark,144.1399994,-144,42° 24.86' N,076° 52.579' W,,Sample,124,
Ngorongoro_in_NE,Ngorongoro,-144.2100067,Pockmark,144.2100067,-144,42° 24.86' N,076° 52.563' W,,Sample,125,
Yellowstone_in_C,Yellowstone,-135.1900024,Pockmark,135.1900024,-135,42° 24.976' N,076° 52.86' W,,Sample,127,
Yellowstone_in_NW,Yellowstone,-134.8399963,Pockmark,134.8399963,-135,42° 24.981' N,076° 52.868' W,,Sample,125,
Yellowstone_in_NE,Yellowstone,-134.7200012,Pockmark,134.7200012,-135,42° 24.982' N,076° 52.852' W,,Sample,127,
Up_in_C,Up,-141.7200012,Pockmark,141.7200012,-142,42° 25.338' N,076° 52.992' W,,Sample,128,
Up_in_NW,Up,-141.4400024,Pockmark,141.4400024,-141,42° 25.348' N,076° 53.001' W,,Sample,128,
Up_in_NE,Up,-141.1600037,Pockmark,141.1600037,-141,42° 25.349' N,076° 52.979' W,,Sample,127,
Lancelot_in_C,Lancelot,-165.9499969,Pockmark,165.9499969,-166,42° 26.069' N,076° 52.762' W,,Sample,132,
Lancelot_in_NW,Lancelot,-165.8899994,Pockmark,165.8899994,-166,42° 26.071' N,076° 52.766' W,,Sample,132,
Lancelot_in_S,Lancelot,-165.8699951,Pockmark,165.8699951,-166,42° 26.072' N,076° 52.756' W,,Sample,131,
Peter_in_C,Peter,-171.8300018,Pockmark,171.8300018,-172,42° 26.427' N,076° 53.067' W,,Sample,133,
Peter_in_NW,Peter,-171.6100006,Pockmark,171.6100006,-172,42° 26.434' N,076° 53.075' W,,Sample,134,
Peter_in_NE,Peter,-171.5700073,Pockmark,171.5700073,-172,42° 26.435' N,076° 53.055' W,,Sample,133,
December_in_C,December,-175.6199951,Pockmark,175.6199951,-176,42° 26.798' N,076° 52.998' W,,Sample,130,
December_in_NW,December,-173.9499969,Pockmark,173.9499969,-174,42° 26.809' N,076° 53.01' W,,Sample,130,
December_in_NE,December,-174.4600067,Pockmark,174.4600067,-174,42° 26.809' N,076° 52.985' W,,Sample,130,
Folger_in_C,Folger,-178.5200043,Pockmark,178.5200043,-179,42° 27.859' N,076° 53.449' W,,Sample,132,
Folger_in_NW,Folger,-177.7200012,Pockmark,177.7200012,-178,42° 27.868' N,076° 53.458' W,,Sample,132,
Folger_in_NE,Folger,-177.5599976,Pockmark,177.5599976,-178,42° 27.87' N,076° 53.437' W,,Sample,133,
BigTom_in_E,Bigtom,-186.3800049,Pockmark,186.3800049,-186,42° 28.071' N,076° 53.611' W,,Sample,135,
BigTom_in_NW,Bigtom,-187.1399994,Pockmark,187.1399994,-187,42° 28.079' N,076° 53.664' W,,Sample,135,
BigTom_in_S,Bigtom,-187.9700012,Pockmark,187.9700012,-188,42° 28.08' N,076° 53.639' W,,Sample,134,
Peacemaker_in_C,Peacemaker,-181.1900024,Pockmark,181.1900024,-181,42° 28.386' N,076° 53.787' W,,Sample,132,
Peacemaker_in_NW,Peacemaker,-180.8000031,Pockmark,180.8000031,-181,42° 28.392' N,076° 53.794' W,,Sample,131,
Peacemaker_in_NE,Peacemaker,-180.6100006,Pockmark,180.6100006,-181,42° 28.392' N,076° 53.774' W,,Sample,132,
Abyssal_in_S,Abyssal,-184,Abyssal,,-184,42° 34.726' N,076° 53.867' W,,Sample,143,
Abyssal_in_NE,Abyssal,-184,Abyssal,,-184,42° 34.75' N,076° 53.896' W,,Sample,139,
Abyssal_in_NW,Abyssal,-184,Abyssal,,-184,42° 34.75' N,076° 53.829' W,,Sample,142,
Belhurst_in_S,Belhurst,-59,Belhurst,,-59,42° 49.967' N,076° 57.922' W,,Sample,132,
Belhurst_in_NW,Belhurst,-59,Belhurst,,-59,42° 49.984' N,076° 57.948' W,,Sample,132,
Belhurst_in_NE,Belhurst,-51,Belhurst,,-51,42° 49.989' N,076° 57.889' W,,Sample,129,
EquipmentBlank1,Blank,,Blank,,,,,,QA_EB,2,
EquipmentBlank2,Blank,,Blank,,,,,,QA_EB,2,
